Nhóm ngành,Ngành,Trường đào tạo,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn 2024
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Nha Trang,7310101,Kinh tế (02 chuyên ngành: Kinh tế thủy sản; Quản lý kinh tế),D01; D14; D15; D96,21
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Quốc Tế – Đại Học Quốc Gia TPHCM,7310101,Kinh tế (Phân tích dữ liệu trong kinh tế),A00; A01; D01; D07,23.25
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Hùng Vương,7310101,Kinh tế,A00; A01; A09; D01,18
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Hải Phòng,7310101,Kinh tế,A00; A01; C01; D01,20.5
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Học Viện Chính Sách và Phát Triển,7310101,Kinh tế,A00; A01; D01; D07,24.83
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Công Đoàn,7310101,Kinh tế,A00; A01; D01,23.4
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Hàng Hải Việt Nam,A408,Kinh tế Hàng hải,A01; D01; D07; D15,23
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Vinh,7310101,Kinh tế (Chuyên ngành Kinh tế đầu tư và chuyên ngành Quản lý kinh tế),A00; A01; D01; B00,18.5
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Học Viện Hành Chính Quốc Gia,7310101,Kinh tế,A00; A01; A07; D01,24.6
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Tây Nguyên,7310101,Kinh tế,A00; A01; D01; D07,17.55
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Tây Nguyên,7620115,Kinh tế nông nghiệp,A00; A01; D01; D07,15
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Quy Nhơn,7310101,Kinh tế,A00; A01; D01,18
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Kinh Tế – Đại Học Đà Nẵng,7310101,Kinh tế,A00; A01; D01; D90,24.5
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Hải Dương,7310101,Kinh tế,A00; A01; D01,15
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Hà Tĩnh,7620115,Kinh tế nông nghiệp,A00; C14; D01,15
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại học Tài Nguyên và Môi Trường Hà Nội,7850102,Kinh tế Tài nguyên thiên nhiên,A00; A01; A07; D01,15
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Học Viện Hành Chính Quốc Gia (phía Nam),7310101,Kinh tế,A00; A01; A07; D01,21.5
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Lao Động – Xã Hội,7310101,Kinh tế,A00; A01; D01,23.55
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Lao Động – Xã Hội (Cơ sở II),7310101,Kinh tế,A00; A01; D01,21.6
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Trà Vinh,7310101,Kinh tế,A00; A01; C01; D01,15
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Nông Lâm TPHCM,7310101,Kinh tế,A00; A01; D01,22.5
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Sư Phạm Kỹ Thuật Hưng Yên,7310101,Kinh tế,A00; A01; D01; D07,15
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Mở TPHCM,7310101,Kinh tế,A00; A01; D07; D01,20
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Mở TPHCM,7310101C,Kinh tế (CT chất lượng cao),D07; A01; D01; D96,18
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Sư Phạm Kỹ Thuật Vĩnh Long,7310101,Kinh tế,A00; A01; D01; C04,15
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Sư Phạm Kỹ Thuật Vĩnh Long,7310101_CLC,Kinh tế,A00; A01; D01; C04,15
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Kinh Doanh và Công Nghệ Hà Nội,7310101,Kinh tế,A00; A01; A08; D01,21
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Kỹ Thuật Công Nghiệp – Đại Học Thái Nguyên,7510604,Kinh tế công nghiệp,A00; A01; D01; D07,16
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Khoa Quốc tế - Đại học Huế,7850102,Kinh tế tài nguyên thiên nhiên,A00; A01; C00; D01,17
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Kinh Tế – Đại Học Huế,7310101,Kinh tế,A00; A01; C15; D01,17
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Kinh Tế – Đại Học Huế,7310101TA,Kinh tế (ĐT bằng Tiếng Anh),A00; A01; C15; D01,18
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Kinh Tế – Đại Học Huế,7310102,Kinh tế chính trị,A00; A01; C15; D01,17
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Kinh Tế – Đại Học Huế,7620115,Kinh tế nông nghiệp,A00; A01; C15; D01,17
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Kinh Tế – Đại Học Huế,7903124,Song ngành Kinh tế - Tài chính (CT tiên tiến),A00; A01; C15; D01,17
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Học Viện Quản Lý Giáo Dục,7310101,Kinh tế,A00; A01; D01; D10,15
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Đại Học Duy Tân,7310104,Kinh tế đầu tư,A00; A16; C01; D01,16
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Đại Học Duy Tân,7810501,Kinh tế gia đình,A00; C00; C15; D01,16
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Đại Nam,7310101,Kinh tế,A00; A01; D01; D07,16
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại học Tài chính Quản trị kinh doanh,7310101,Kinh tế (Chuyên ngành: Quản lý kinh tế; Kinh tế - Luật),A00; A01; D01; 004,20.5
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Tiền Giang,7310101,Kinh tế,A00; A01; D01; D90,15
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại học Kinh tế Quản trị kinh doanh - Đại học Thái Nguyên,7310101,Kinh tế,A00; A01; C04; D01,17
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại học Kinh tế Quản trị kinh doanh - Đại học Thái Nguyên,7310104,Kinh tế đầu tư,A00; A01; C04; D01,17
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại học Kinh Tế Nghệ An,7310101,Kinh tế,A00; A01; B00; D01,17
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Lâm nghiệp,7310101,Kinh tế,A00; A16; C15; D01,16.4
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Văn Hiến,7310101,Kinh tế,A00; A01; C04; D01,16.1
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Quang Trung,7310101,Kinh tế,A00; A09; C14; D01,15
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Quang Trung,7620115,Kinh tế Nông nghiệp,A09; B08; C08; D01,15
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Hoa Sen,7310113,Kinh tế thể thao,A00; A01; D01; D03; D09,19
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Quốc Tế Miền Đông,7310101,Kinh tế,A00; A01; B00; D01,15
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Thái Bình,7310101,Kinh tế,A00; B00; C14; D01,17.5
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Học Viện Dân Tộc,7310101,Kinh tế giáo dục vùng dân tộc thiểu số,C00; C03; C04; D01,18
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Hồng Đức,7310101,Kinh tế,A00; C04; C14; D01,15
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Hồng Đức,7620115,Kinh tế nông nghiệp,A00; B00; C14; C20,15
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại học Tài Nguyên và Môi Trường TPHCM,7850102,Kinh tế tài nguyên thiên nhiên,A00; A01; B00; D01,15
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Nông Lâm – Đại Học Thái Nguyên,7620115,Kinh tế nông nghiệp,A00; B00; C02,15
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Nông Lâm – Đại Học Thái Nguyên,7906425,Kinh tế nông nghiệp (Chương trình tiên tiến),A00; B00; A01; D01,16
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại Học Công Nghiệp Việt Hưng,7310101,Kinh tế,C00; C19; C20; D01,15
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Trường Đại học Nông Lâm Bắc Giang,7310101,Kinh tế,A00; A01; D01; C20,15
Kinh tế - Quản trị kinh doanh - Thương Mại,Kinh tế,Phân Hiệu Đại Học Thái Nguyên Tại Lào Cai,7310101,Kinh tế,A00; A01; C04; D10,16
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Đại Học Kinh Tế Quốc Dân,7340101,Quản trị kinh doanh,A00; A01; D01; D07,27.15
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Đại Học Kinh Tế Quốc Dân,EBBA,Quản trị kinh doanh (E-BBA),A00; A01; D01; D07,27.01
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Đại Học Kinh Tế Quốc Dân,POHE5,Quản trị kinh doanh thương mại (ngành Kinh doanh thương mại),A01; D01; D07; D09,36.59
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Đại Học Bách Khoa Hà Nội,EM3,Quản trị Kinh doanh,A00; A01; D01,25.77
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Đại Học Bách Khoa Hà Nội,TROY-BA,Quản trị Kinh doanh - ĐH Troy (Hoa Kỳ) (do ĐH Troy cấp bằng),A00; A01; D01,21
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Học Viện Tài chính,7340101,Quản trị kinh doanh,A00; A01; D01; D07,26.22
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Học Viện Ngân Hàng,BUS01,Quản trị kinh doanh (Chương trình Chất lượng cao),A00; A01; D01; D07,33.9
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Học Viện Ngân Hàng,BUS02,Quản trị kinh doanh,A00; A01; D01; D07,26.33
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Học Viện Ngân Hàng,BUS04,"Quản trị kinh doanh (Liên kết với ĐH CityU, Hoa kỳ. Cấp song bằng)",A00; A01; D01; D07,23
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Học Viện Ngân Hàng,BƯS04,"Quản trị kinh doanh (Liên kết với ĐH CityU, Hoa kỳ. cấp song bằng)",A00; A01; D01; D07,23
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Học Viện Công Nghệ Bưu Chính Viễn Thông,7340101,Quản trị kinh doanh,A00; A01; D01,25.17
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Thương Mại,TM01,Quản trị kinh doanh (Quản trị kinh doanh),A00; A01; D01; D07,26.1
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Thương Mại,TM02,Quản trị kinh doanh (Quản trị kinh doanh) - Chương trình đào tạo định hương chuyên sâu nghề nghiệp quốc tế - IPOP,A00; A01; D01; D07,25.15
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Thương Mại,TM03,Quản trị kinh doanh (Khởi nghiệp và phát triển kinh doanh),A00; A01; D01; D07,25.55
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Thương Mại,TM20,Kinh doanh quốc tế (Thương mại quốc tế) - Chương trình đào tạo định hương chuyên sâu nghề nghiệp quốc tế - IPOP,A00; A01; D01; D03,25.5
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại học Thủ Đô Hà Nội,7340101,Quản trị kinh doanh,C00; D96; A00; D01,26.62
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Giao Thông Vận Tải,7340101,Quản trị kinh doanh,A00; A01; D01; D07,25.1
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Giao Thông Vận Tải,7340101 QT,Quản trị kinh doanh (Chương trình CLC Quản trị kinh doanh Việt - Anh),A00; A01; D01; D07,23.96
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Công Nghiệp Hà Nội,7340101,Quản trị kinh doanh,A00; A01; D01,24.31
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Công Nghiệp TPHCM,7340101,Quản trị kinh doanh gồm 03 chuyên ngành: Quản trị kinh doanh; Quản trị nguồn nhân lực; Logistics và Quản lý chuỗi cung ứng,A01; C01; D01; D96,24.25
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Công Nghiệp TPHCM,7340101C,Quản trị kinh doanh gồm 03 chuyên ngành: Quản trị kinh doanh; Quản trị nguồn nhân lực; Logistics và Quản lý chuỗi cung ứng,A01; C01; D01; D96,22
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Học Viện Phụ Nữ Việt Nam,7340101,Quản trị kinh doanh,A00; A01; D01,24
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Học Viện Phụ Nữ Việt Nam,7340101TA,Quản trị kinh doanh (chương trình đào tạo bằng tiếng Anh),A00; A01; D01,24
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,7340101DKD,Quản trị kinh doanh,A00; A01; C01; D01,18.5
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Kinh Tế Kỹ Thuật Công Nghiệp,7340101DKK,Quản trị kinh doanh,A00; A01; C01; D01,23.2
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Công Thương TPHCM,7340101,Quản trị kinh doanh,A00; A01; D01; D10,23
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Công Thương TPHCM,7340129,Quản trị kinh doanh thực phẩm,A00; A01; D01; D10,20
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Học Viện Hàng không Việt Nam,7340101,Quản trị kinh doanh,A01; D01; D14; D15,19.5
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Học Viện Hàng không Việt Nam,7340101E,Quản trị kinh doanh hàng không - Chương trình học bằng tiếng Anh,A01; D01; D14; D15,19.5
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Phenikaa,FBE1,Quản trị kinh doanh,A00; A01; D01; D07,20
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Hà Nội,7340101,Quản trị kinh doanh (dạy bằng tiếng Anh),D01,30.72
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại học Thủ Dầu Một,7340101,Quản trị Kinh doanh,A00; A01; D01; A16,21.4
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Thăng Long,7340101,Quản trị kinh doanh,A00; A01; D01; D07,23.61
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Thủy Lợi,TLA402,Quản trị kinh doanh,A00; A01; D01; D07,24.68
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Tôn Đức Thắng,7340101,Quản trị kinh doanh (Chuyên ngành Quản trị nguồn nhân lực),A00; A01; D01,33
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Tôn Đức Thắng,7340101N,Quản trị kinh doanh (Chuyên ngành Quản trị nhà hàng - khách sạn),A00; A01; D01,32
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Tôn Đức Thắng,D7340101N,Quản trị kinh doanh (Chuyên ngành Quản trị nhà hàng - khách sạn) - Chương trình dự bị đại học bằng tiếng Anh,A01; D01,27
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Tôn Đức Thắng,DK7340101E,Quản trị kinh doanh toàn cầu (đơn bằng 2+2) - Chương trình dự bị liên kết đơn Đại học Emlyon (Pháp),A01; D01,28
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Tôn Đức Thắng,DK7340101L,Quản trị kinh doanh (đơn bằng 3+1) - Chương trình dự bị liên kết Đại học Lunghwa (Đài Loan),A01; D01,28
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Tôn Đức Thắng,DK7340101N,Quản trị kinh doanh (chuyên ngành Quản trị nhà hàng - khách sạn) (song bằng 2.5+1.5) - Chương trình dự bị liên kết Đại học Taylor’s (Malaysia),A01; D01,28
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Tôn Đức Thắng,F7340101,Quản trị kinh doanh (Chuyên ngành Quản trị nguồn nhân lực) - Chất lượng cao,A00; A01; D01,30
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Tôn Đức Thắng,F7340101N,Quản trị kinh doanh (Chuyên ngành Quản trị nhà hàng - khách sạn) - Chất lượng cao,A00; A01; D01,27.8
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Tôn Đức Thắng,FA7340101N,Quản trị kinh doanh (Chuyên ngành Quản trị nhà hàng - khách sạn) - Chương trình đại học bằng tiếng Anh,E04; E06; D01; A01,27
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Tôn Đức Thắng,K7340101,Quản trị kinh doanh (song bằng 2+2) - Chương trình liên kết Đại học kinh tế Praha (Cộng hòa Séc),E04; E06; D01; A01,28
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Tôn Đức Thắng,K7340101E,Quản trị kinh doanh toàn cầu (đơn bằng 2+2) - Chương trình liên kết đơn Đại học Emlyon (Pháp),E04; E06; D01; A01,28
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Tôn Đức Thắng,K7340101L,Quản trị kinh doanh (đơn bằng 3+1) – Chương trình liên kết Đại học Lunghwa (Đài Loan),E04; E06; D01; A01,28
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Tôn Đức Thắng,N7340101N,Quản trị kinh doanh (Chuyên ngành Quản trị nhà hàng - khách sạn) - Chương trình học tại Phân hiệu Khánh Hòa,A00; A01; D01,22
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Học Viện Nông Nghiệp Việt Nam,HVN08,"Kế toán, Quản trị kinh doanh, Thương mại và Du lịch",A00; A09; C20; D01,18
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Kinh Tế – Đại Học Quốc Gia Hà Nội,7340101,Quản trị Kinh doanh,A01; D01; D09; D10,33.33
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Cần Thơ,7340101,Quản trị kinh doanh,A00; A01; C02; D01,24.05
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Cần Thơ,7340101C,Quản trị kinh doanh (CTCLC),A01; D01; D07,23.1
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Cần Thơ,7340101H,Quản trị kinh doanh (Khu Hòa An),A00; A01; C02; D01,21.5
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Sài Gòn,7340101,Quản trị kinh doanh,D01,22.97
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Sài Gòn,7340101CLC,Quản trị kinh doanh (chương trình chất lượng cao),D01,22.65
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại học Kinh Tế Luật – Đại Học Quốc Gia TPHCM,7340101_407,Quản trị kinh doanh (Chuyên ngành Quản trị kinh doanh ),A00; A01; D01; D07,26.33
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại học Kinh Tế Luật – Đại Học Quốc Gia TPHCM,7340101_407E,Quản trị kinh doanh (Tiếng Anh),A00; A01; D01; D07,25.5
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại học Kinh Tế Luật – Đại Học Quốc Gia TPHCM,7340101_415,Quản trị kinh doanh (Quản trị du lịch và lữ hành),A00; A01; D01; D07,25.33
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Luật TPHCM,7340101,Quản trị kinh doanh,A00; A01; D01; D84,22.56
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Đại Học Kinh Tế TPHCM,7340101_01,Quản trị kinh doanh,A00; A01; D01; D07,25.8
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Tài Chính Marketing,7340101,Quản trị kinh doanh,A00; A01; D01; D96,24.2
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Tài Chính Marketing,7340101_TATP,Quản trị kinh doanh,A00; A01; D01; D96,22
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Tài Chính Marketing,7340101_TH,Quản trị kinh doanh,A00; A01; D01; D96,22
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Giao Thông Vận Tải (Cơ sở 2),7340101,Quản trị kinh doanh,A00; A01; D01; C01,23.56
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Nha Trang,7340101,Quản trị kinh doanh,D01; D14; D15; D96,21
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Nha Trang,7340101A,Quản trị kinh doanh (Chương trình đặc biệt),A01; D01; D07; D96,20
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Học Viện Công Nghệ Bưu Chính Viễn Thông (Cơ sở TP.HCM),7340101,Quản trị kinh doanh,A00; A01; D01,18.4
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Quốc Tế – Đại Học Quốc Gia TPHCM,7340101,Quản trị kinh doanh,A00; A01; D01; D07,22.5
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Quốc Tế – Đại Học Quốc Gia TPHCM,7340101_AND,Quản trị kinh doanh (Chương trình liên kết với ĐH Andrews) (4+0),A00; A01; D01; D07,18
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Quốc Tế – Đại Học Quốc Gia TPHCM,7340101_AU,Quản trị kinh doanh (Chương trình liên kết với ĐH Công nghệ Auckland) (1+2/1.5+1.5),A00; A01; D01; D07,18
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Quốc Tế – Đại Học Quốc Gia TPHCM,7340101_LU,Quản trị kinh doanh (Chương trình liên kết với ĐH Lakehead) (2+2),A00; A01; D01; D07,18
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Quốc Tế – Đại Học Quốc Gia TPHCM,7340101_NS,Quản trị kinh doanh (Chương trình liên kết với ĐH New South Wales) (2+2),A00; A01; D01; D07,18
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Quốc Tế – Đại Học Quốc Gia TPHCM,7340101_SY,Quản trị kinh doanh (Chương trình liên kết với ĐH Sydney) (2+2),A00; A01; D01; D07,18
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Quốc Tế – Đại Học Quốc Gia TPHCM,7340101_UH,Quản trị kinh doanh (Chương trình liên kết với ĐH Houston) (2+2),A00; A01; D01; D07,18
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Quốc Tế – Đại Học Quốc Gia TPHCM,7340101_WE,Quản trị kinh doanh (Chương trinh liên kết với ĐH West of England) (2+2),A00; A01; D01; D07,18
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Quốc Tế – Đại Học Quốc Gia TPHCM,7340101_WE4,Quản trị kinh doanh (Chương trình liên kết với ĐH West of England) (4+0),A00; A01; D01; D07,18
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Hùng Vương,7340101,Quản trị kinh doanh,A00; A01; A09; D01,18
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Hải Phòng,7340101,Quản trị kinh doanh,A00; A01; C01; D01,20
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Học Viện Chính Sách và Phát Triển,7340101,Quản trị kinh doanh,A00; A01; D01; D07,24.68
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Học Viện Chính Sách và Phát Triển,7340101_1,Quản trị kinh doanh chất lượng cao giảng dạy bằng Tiếng Anh,A01; D01; D07; D10,33.33
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Mở Hà Nội,7340101,Quản trị kinh doanh,A00; A01; D01,23.52
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Công Đoàn,7340101,Quản trị kinh doanh,A00; A01; D01,22.8
Kinh tế - Quản trị kinh doanh - Thương Mại,Quản trị kinh doanh,Trường Đại Học Hàng Hải Việt Nam,D403,Quản trị kinh doanh,A00; A01; C01; D01,24.5
